7;multipath;;
11;сеть;;
10;systems;;
6;организация;;
12;информационный;;
7;оценка;;
5;clusters;;
8;передача;;
5;exchange;;
5;услуга;;
41;система;;
14;модель;;
6;real-time;;
8;system;;
5;выбор;;
6;выполнение;;
5;обучение;;
10;requests;;
6;перераспределение;;
15;надежность;;
5;duplicated;;
9;время;;
8;access;;
6;transmission;;
5;прикладной;;
6;резервирование;;
8;канал;;
11;кластер;;
6;secure;;
5;форма;;
7;эффективность;;
14;обслуживание;;
7;service;;
6;обмен;;
24;запрос;;
8;имитационный;;
11;многопутевой;;
8;компьютерный;;
5;информатика;;
6;данные;;
11;computer;;
11;вычислительный;;
10;оптимизация;;
8;маршрутизация;;
9;nodes;;
5;предоставление;;
6;безопасность;;
7;дублировать;;
12;network;;
24;redundant;;
5;распределение;;
5;fault-tolerant;;
21;резервировать;;
5;migration;;
5;задержка;;
7;агрегированный;;
6;cluster;;
9;реальный;;
5;distributed;;
7;efficiency;;
6;model;;
